4,15,455
42,37,920
83,99,571
20,38,593
5,13,755
48,82,324
79,58,236
77,80,745
27,92,422
37,29,774
42,37,687
86,13,219
48,67,995
80,79,121
49,79,489
35,34,37
76,13,393
39,89,44
15,6,666
11,58,319
83,83,544
44,15,94
62,38,269
98,63,442
46,74,810
75,35,402
58,79,514
51,12,557
53,78,773
5,46,410
94,28,636
9,74,159
46,13,161
83,30,159
41,61,966
59,45,924
87,64,546
90,64,407
17,11,94
4,14,44
6,11,173
24,72,859
76,52,459
66,70,793
70,34,676
48,45,709
84,86,379
10,60,525
94,77,79
58,68,342
95,97,369
96,76,730
63,1,703
11,29,359
35,49,876
25,6,695
23,98,777
20,11,286
41,44,100
28,71,771
13,45,567
7,69,182
9,53,781
77,49,228
89,70,133
95,21,683
40,88,780
21,81,177
43,36,151
76,89,633
61,11,337
6,84,697
50,8,957
28,33,835
5,17,776
96,69,240
84,77,763
99,46,541
8,63,231
62,91,598
58,38,328
87,58,168
77,28,487
16,94,800
48,82,930
81,55,535
3,1,116
71,31,195
63,1,240
26,20,160
26,3,337
24,70,466
21,97,552
59,30,490
65,61,336
65,7,64
50,87,284
42,11,607
28,68,461
1,88,965
23,13,508
88,54,999
6,83,744
41,3,196
5,46,711
31,88,206
8,72,496
80,4,512
30,75,21
69,96,534
25,25,326
75,66,494
63,87,847
25,93,944
38,3,739
32,1,220
75,48,839
17,57,541
40,77,30
74,73,387
90,38,480
28,63,595
93,90,63
36,48,244
39,61,354
57,77,526
21,59,90
55,93,907
63,31,330
78,83,537
16,75,129
50,12,143
51,9,573
3,97,605
81,78,738
79,35,782
39,52,100
42,52,336
54,64,953
55,55,871
94,97,195
2,88,634
58,41,302
85,82,913
45,51,283
38,71,199
49,38,297
10,55,233
39,96,445
1,58,854
24,70,175
54,57,422
32,37,662
32,83,522
5,47,375
30,35,619
59,33,391
23,58,673
52,90,327
44,57,141
63,43,965
18,61,94
66,86,438
92,24,874
80,24,329
59,56,144
43,69,838
27,5,676
21,71,353
7,35,767
69,57,746
20,24,527
87,2,438
3,5,966
5,94,90
22,26,331
77,3,546
64,9,437
57,24,56
53,36,123
75,62,554
74,51,117
29,87,111
81,30,454
47,72,472
39,33,240
54,59,211
19,30,508
91,61,285
63,54,926
38,29,266
95,78,863
66,16,207
6,69,617
55,92,865
33,19,143
26,93,269
44,9,497
40,16,470
69,74,158
34,38,462
91,3,175
36,46,510
77,13,230
47,50,654
35,28,892
54,21,128
12,60,653
3,85,219
17,62,697
26,96,541
73,27,85
63,15,492
67,72,786
5,75,81
35,60,372
63,45,788
84,19,505
28,2,186
36,49,236
78,15,90
78,79,852
91,18,337
92,71,174
33,33,764
83,83,360
25,33,252
38,25,87
92,75,421
83,33,699
83,66,811
75,76,909
81,48,451
90,25,634
20,10,621
38,45,682
50,27,198
98,36,404
31,24,659
85,54,641
84,59,335
5,5,758
9,94,956
70,12,378
29,58,195
88,16,143
